river name,AOI,im_code,im_id,date,time
Sainte-Margurite,SM_1,2022_10_02_0,20221002_151559_26_2486,2022_10_02,15:15:59
Sainte-Margurite,SM_1,2022_10_03_0,20221003_143913_44_241f,2022_10_03,14:39:13
Sainte-Margurite,SM_1,2022_10_04_0,20221004_151540_38_2482,2022_10_04,15:15:40
Sainte-Margurite,SM_1,2022_10_12_0,20221012_151618_40_2489,2022_10_12,15:16:18
Sainte-Margurite,SM_1,2022_10_22_0,20221022_151453_99_2474,2022_10_22,15:14:53
Sainte-Margurite,SM_1,2022_10_28_0,20221028_151333_10_24a3,2022_10_28,15:13:33
Sainte-Margurite,SM_1,2022_10_30_0,20221030_152550_28_240c,2022_10_30,15:25:50
Sainte-Margurite,SM_1,2022_09_02_0,20220902_143829_97_2429,2022_09_02,14:38:29
Sainte-Margurite,SM_1,2022_09_06_0,20220906_152513_48_2403,2022_09_06,15:25:13
Sainte-Margurite,SM_1,2022_09_07_0,20220907_151108_81_2484,2022_09_07,15:11:08
Sainte-Margurite,SM_1,2022_09_07_1,20220907_151343_27_2473,2022_09_07,15:13:43
Sainte-Margurite,SM_1,2022_09_10_0,20220910_151044_95_249a,2022_09_10,15:10:44
Sainte-Margurite,SM_1,2022_09_10_1,20220910_151537_16_2446,2022_09_10,15:15:37
Sainte-Margurite,SM_1,2022_09_12_0,20220912_143607_19_2457,2022_09_12,14:36:07
Sainte-Margurite,SM_1,2022_09_18_0,20220918_151251_22_2499,2022_09_18,15:12:51
Sainte-Margurite,SM_1,2022_09_19_0,20220919_143812_33_2460,2022_09_19,14:38:12
Sainte-Margurite,SM_1,2022_09_24_0,20220924_150714_72_2231,2022_09_24,15:07:14
Sainte-Margurite,SM_1,2022_09_25_0,20220925_152638_02_240a,2022_09_25,15:26:38
Sainte-Margurite,SM_1,2022_09_30_0,20220930_152332_40_241c,2022_09_30,15:23:32
